key,authors,year,title,journal,volume,issue,pages,doi
PARDIDGE2012,"Pardridge WM",2012,"Drug transport across the blood-brain barrier","J Cereb Blood Flow Metab",32,11,1959-1972,10.1038/jcbfm.2012.126
LIPINSKI2001,"Lipinski CA, Lombardo F, Dominy BW, Feeney PJ",2001,"Experimental and computational approaches to estimate solubility and permeability in drug discovery and development settings","Adv Drug Deliv Rev",46,1-3,3-26,10.1016/S0169-409X(00)00129-0
RANKOVIC2015,"Rankovic Z",2015,"CNS drug design: balancing physicochemical properties for optimal brain exposure","J Med Chem",58,6,2584-2608,10.1021/jm501535r
FISCHER1998,"Fischer H, Gottschlich R, Seelig A",1998,"Blood-brain barrier permeation: molecular parameters governing passive diffusion","J Membr Biol",165,3,201-211,10.1007/s002329900434
SEELIG1994PNAS,"Seelig A, Gottschlich R, Devant RM",1994,"A method to determine the ability of drugs to diffuse through the blood-brain barrier","Proc Natl Acad Sci USA",91,1,68-72,10.1073/pnas.91.1.68
SEELIG2007,"Seelig A",2007,"The role of size and charge for blood-brain barrier permeation of drugs and fatty acids","J Mol Neurosci",33,1,32-41,10.1007/s12031-007-0055-y
GUNTNER2019,"Guntner AS, Thalhamer B, Klampfl C, Buchberger W",2019,"Collision cross sections obtained with ion mobility mass spectrometry as a new descriptor to predict blood-brain barrier permeation by drugs","Sci Rep",9,,19182,10.1038/s41598-019-55856-7
GUNTNER2021,"Guntner AS, Bögl T, Mlynek F, Buchberger W",2021,"Large-scale evaluation of collision cross sections to investigate blood-brain barrier permeation of drugs","Pharmaceutics",13,12,2141,10.3390/pharmaceutics13122141
POONGAVANAM2024,"Poongavanam V, Wieske LHE, Peintner S, Erdelyi M, Kihlberg J",2024,"Molecular chameleons in drug discovery","Nat Rev Chem",8,1,45-60,10.1038/s41570-023-00563-1
YU2026,"Yu Y, Wu Q, Chen J, She Y, Zhu L, Guo Z",2026,"Delta PSA: a new metric for conformational dynamics underlying macrocyclic peptide permeability","bioRxiv",,,,10.64898/2026.01.06.697862
FONG2015,"Fong CW",2015,"Permeability of the blood-brain barrier: molecular mechanism of transport of drugs and physiologically important compounds","J Membr Biol",248,,651-669,10.1007/s00232-015-9778-9
MONTGOMERY2024,"Montgomery JM, Lemkul JA",2024,"Quantifying induced dipole effects in small molecule permeation in a model phospholipid bilayer","J Phys Chem B",128,30,7385-7400,10.1021/acs.jpcb.4c01634
WANAT2023,"Wanat K, Brzezinska E",2023,"Chromatographic data in statistical analysis of blood-brain barrier permeability indices","Membranes",13,7,623,10.3390/membranes13070623
SHITYAKOV2013,"Shityakov S, Neuhaus W, Dandekar T, Forster C",2013,"Analysing molecular polar surface descriptors to predict blood-brain barrier permeation","Int J Comput Biol Drug Des",6,1/2,146-156,10.1504/ijcbdd.2013.052195
DOLGHIH2012,"Dolghih E, Jacobson MP",2012,"Predicting efflux ratios and blood-brain barrier penetration from chemical structure: combining passive permeability with active efflux by P-glycoprotein","ACS Chem Neurosci",4,,361-367,10.1021/cn3001922
SCHINKEL1996,"Schinkel AH, Wagenaar E, Mol CAAM, van Deemter L",1996,"P-glycoprotein in the blood-brain barrier of mice influences the brain penetration and pharmacological activity of many drugs","J Clin Invest",97,11,2517-2524,10.1172/jci118699
LINNET2008,"Linnet K, Ejsing TB",2008,"A review on the impact of P-glycoprotein on the penetration of drugs into the brain. Focus on psychotropic drugs","Eur Neuropsychopharmacol",18,3,157-169,10.1016/j.euroneuro.2007.06.003
ZHANG2012,"Zhang C, Kwan P, Zuo Z, Baum L",2012,"The transport of antiepileptic drugs by P-glycoprotein","Adv Drug Deliv Rev",64,,930-942,10.1016/j.addr.2011.11.006
LOSCHER2005,"Loscher W, Potschka H",2005,"Role of drug efflux transporters in the brain for drug disposition and treatment of brain diseases","Prog Neurobiol",76,,22-76,10.1016/j.pneurobio.2005.04.006
SCHINKEL1994,"Schinkel AH, Smit JJM, van Tellingen O, Beijnen JH, Wagenaar E, van Deemter L, et al.",1994,"Disruption of the mouse mdr1a P-glycoprotein gene leads to a deficiency in the blood-brain barrier and to increased sensitivity to drugs","Cell",77,4,491-502,10.1016/0092-8674(94)90212-7
ABRAHAM2004,"Abraham MH",2004,"The factors that influence permeation across the blood-brain barrier","Eur J Med Chem",39,,235-240,10.1016/j.ejmech.2003.12.004
GEREBTZOFF2006,"Gerebtzoff G, Seelig A",2006,"In silico prediction of blood-brain barrier permeation using the calculated molecular cross-sectional area as main parameter","J Chem Inf Model",46,6,2638-2650,10.1021/ci0600814
XIE1999,"Xie R, Hammarlund-Udenaes M, de Boer AG, de Lange ECM",1999,"The role of P-glycoprotein in blood-brain barrier transport of morphine: transcortical microdialysis studies in mdr1a (-/-) and mdr1a (+/+) mice","Br J Pharmacol",128,,563-568,10.1038/sj.bjp.0702804
CHEN2003,"Chen C, Hanson E, Watson JW, Lee JS",2003,"P-glycoprotein limits the brain penetration of sedating but not non-sedating H1-antagonists","Drug Metab Dispos",31,3,312-318,10.1124/dmd.31.3.312
LEE2025,"Lee HJ, Jun I, Kim HW, et al.",2025,"Explaining blood-brain barrier permeability by synergistic effect on molecular substructures","Comput Biol Med",,,111183,10.1016/j.compbiomed.2025.111183
HU2025,"Hu X, He T, Zhang D, Zhou C, Liang P, et al.",2025,"Nano-enabled delivery of anesthetics: mechanistic insights, technological advances and translational challenges","J Mater Chem B",13,,13844-13866,10.1039/d5tb01540e
MA2023,"Ma H, Pan Z, Lai B, Zan C, Liu H",2023,"Recent research advances in nano-based drug delivery systems for local anesthetics","Drug Des Devel Ther",17,,2639-2655,10.2147/DDDT.S417051
FARR2020,"Farr AC, Xiong MP",2020,"Challenges and opportunities of deferoxamine delivery for treatment of Alzheimer's disease, Parkinson's disease, and intracerebral hemorrhage","Mol Pharm",18,2,593-609,10.1021/acs.molpharmaceut.0c00474
SPIELVOGEL2025,"Spielvogel CP, Schindler N, Schroder C, et al.",2025,"Enhancing blood-brain barrier penetration prediction by machine learning-based integration of novel and existing, in silico and experimental molecular parameters from a standardized database","J Chem Inf Model",65,6,2773-2784,10.1021/acs.jcim.4c02212
