compound_name,pubchem_cid
Caffeine,2519
Ethanol,702
Nicotine,89594
Morphine,5288826
Heroin,5462328
Codeine,5284371
Diazepam,3016
Propofol,4943
Loperamide,3955
Doxorubicin,31703
